intent_id,domain,category,display_title,authoring_wave,clinical_risk,source_refs,status,official_verification_required,default_runtime_enabled,notes
safety_no_match,human_otc,safety,일치하는 승인 카드 없음,0,low,SRC-003|SRC-086|SRC-090,candidate,true,false,추정 대신 선택/추가질문 UI
safety_product_identity_unknown,human_otc,safety,제품 식별 불명확,0,high,SRC-003|SRC-083|SRC-090,candidate,true,false,외형만으로 제품 식별 금지
safety_dose_request_missing_data,human_otc,safety,용량 질문의 필수정보 누락,0,critical,SRC-003|SRC-086|SRC-090,candidate,true,false,제품·대상·함량 확인 전 숫자 금지
safety_duplicate_ingredient_check,human_otc,safety,중복 성분 확인,0,high,SRC-083|SRC-090|SRC-119,candidate,true,false,공식 제품 성분/DUR 연결 필요
safety_allergy_context,human_otc,safety,약물 알레르기 확인,0,critical,SRC-003|SRC-086|SRC-090,candidate,true,false,추천 전 알레르기 slot
safety_pregnancy_lactation_context,human_otc,safety,임신·수유 맥락,0,critical,SRC-003|SRC-086|SRC-090|SRC-097,candidate,true,false,공식 제품별 검증 없이는 제한
safety_current_medication_query,human_otc,safety,현재 복용약과 병용 문의,0,high,SRC-083|SRC-090,candidate,true,false,제품 식별·DUR/공식 출처 필요
urgent_breathing_signal,human_otc,urgent,호흡 관련 긴급 신호,0,critical,SRC-003|SRC-086|SRC-090,candidate,true,false,공식 triage rule 검증 필수
urgent_allergic_swelling_signal,human_otc,urgent,급성 알레르기·부종 긴급 신호,0,critical,SRC-003|SRC-086|SRC-090,candidate,true,false,공식 triage rule 검증 필수
urgent_chest_signal,human_otc,urgent,흉부 관련 긴급 신호,0,critical,SRC-003|SRC-086|SRC-090,candidate,true,false,공식 triage rule 검증 필수
urgent_neurologic_signal,human_otc,urgent,신경학적 긴급 신호,0,critical,SRC-003|SRC-086|SRC-090,candidate,true,false,공식 triage rule 검증 필수
urgent_bleeding_signal,human_otc,urgent,출혈 관련 긴급 신호,0,critical,SRC-086|SRC-090|SRC-109,candidate,true,false,공식 triage rule 검증 필수
urgent_dehydration_signal,human_otc,urgent,중증 탈수 위험 신호,0,critical,SRC-086|SRC-090|SRC-109|SRC-120,candidate,true,false,성인/소아 분리 검증
urgent_overdose_or_ingestion,human_otc,urgent,과량복용·오인 섭취,0,critical,SRC-083|SRC-090,candidate,true,false,중독 대응 공식 경로 필요
cold_general,human_otc,respiratory,감기 증상 일반 문의,1,medium,SRC-003|SRC-086|SRC-090|SRC-091|SRC-099,candidate,true,false,증상 분해 카드의 상위 intent
cold_early_symptoms,human_otc,respiratory,초기 감기 기운,1,medium,SRC-099,candidate,true,false,진단 단정 없이 증상/기간 질문
cold_prevention_request,human_otc,respiratory,감기 예방 요청,1,medium,SRC-100,candidate,true,false,예방 효능 과장 차단
nasal_symptom_general,human_otc,respiratory,콧물·코막힘 일반,1,medium,SRC-003|SRC-086|SRC-090|SRC-091|SRC-101,candidate,true,false,감기/알레르기/기타 원인 구분 질문
rhinitis_vs_cold,human_otc,respiratory,비염과 감기 구분 문의,1,medium,SRC-101,candidate,true,false,진단이 아닌 분기 질문
discolored_nasal_discharge,human_otc,respiratory,색 있는 콧물 문의,1,medium,SRC-102,candidate,true,false,색만으로 감염/항생제 단정 금지
cough_general,human_otc,respiratory,기침 일반 문의,1,medium,SRC-003|SRC-086|SRC-090|SRC-091|SRC-103,candidate,true,false,기간·가래·호흡·연령 분기
cough_not_improving,human_otc,respiratory,기침이 호전되지 않음,1,high,SRC-103,candidate,true,false,기간/위험신호/의뢰 기준 공식 검증
sore_throat,human_otc,respiratory,인후통 문의,1,medium,SRC-003|SRC-086|SRC-090|SRC-091|SRC-104,candidate,true,false,삼킴/호흡/기간 분기
adult_fever,human_otc,respiratory,성인 발열 문의,1,high,SRC-003|SRC-086|SRC-090|SRC-092,candidate,true,false,체온/기간/동반신호 필요
dyspepsia_general,human_otc,gastrointestinal,소화불량 일반,1,medium,SRC-003|SRC-086|SRC-090|SRC-093|SRC-105,candidate,true,false,증상 subtype 분해
indigestion_fullness,human_otc,gastrointestinal,체기·더부룩함,1,medium,SRC-105|SRC-106,candidate,true,false,위험 복통과 구분
digestive_medicine_not_working,human_otc,gastrointestinal,소화제 효과 부족,1,high,SRC-107,candidate,true,false,반복/지속/위험신호 질문
heartburn_reflux_symptom,human_otc,gastrointestinal,속쓰림·역류 증상,1,medium,SRC-003|SRC-086|SRC-090|SRC-093|SRC-108,candidate,true,false,"흉통과 분리, 기간/약물 확인"
nausea_vomiting_adult,human_otc,gastrointestinal,성인 구역·구토,1,high,SRC-086|SRC-090|SRC-093|SRC-109,candidate,true,false,탈수/출혈/임신 등 분기
diarrhea_adult,human_otc,gastrointestinal,성인 설사,1,high,SRC-003|SRC-086|SRC-090|SRC-093|SRC-109,candidate,true,false,혈변/탈수/기간 분기
