alias_id,intent_id,phrase,alias_type,synthetic,review_status,production_enabled
ALIAS-SEED-0001,safety_no_match,무슨 약이 좋을까요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0002,safety_no_match,잘 모르겠어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0003,safety_no_match,증상을 어떻게 말해야 해요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0004,safety_product_identity_unknown,이 빨간 약 뭐예요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0005,safety_product_identity_unknown,약 이름을 모르겠어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0006,safety_product_identity_unknown,포장 없이 알약만 있어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0007,safety_dose_request_missing_data,몇 개 먹어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0008,safety_dose_request_missing_data,몇 미리 먹여요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0009,safety_dose_request_missing_data,용량 알려주세요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0010,safety_duplicate_ingredient_check,같이 먹어도 돼요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0011,safety_duplicate_ingredient_check,성분 겹치나요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0012,safety_duplicate_ingredient_check,감기약 두 개 같이,patient_phrase,True,unreviewed,False
ALIAS-SEED-0013,safety_allergy_context,약 알레르기 있어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0014,safety_allergy_context,전에 약 먹고 두드러기,patient_phrase,True,unreviewed,False
ALIAS-SEED-0015,safety_allergy_context,알레르기약 문의,patient_phrase,True,unreviewed,False
ALIAS-SEED-0016,safety_pregnancy_lactation_context,임신 중인데,patient_phrase,True,unreviewed,False
ALIAS-SEED-0017,safety_pregnancy_lactation_context,수유 중 약,patient_phrase,True,unreviewed,False
ALIAS-SEED-0018,safety_pregnancy_lactation_context,임신 가능성이 있어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0019,safety_current_medication_query,먹는 약이 있는데 같이,patient_phrase,True,unreviewed,False
ALIAS-SEED-0020,safety_current_medication_query,처방약이랑 같이 먹어도,patient_phrase,True,unreviewed,False
ALIAS-SEED-0021,safety_current_medication_query,약끼리 괜찮나요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0022,urgent_breathing_signal,숨이 안 쉬어져요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0023,urgent_breathing_signal,숨쉬기 너무 힘들어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0024,urgent_breathing_signal,말하기 힘들 만큼 숨차요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0025,urgent_allergic_swelling_signal,입술이 갑자기 부었어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0026,urgent_allergic_swelling_signal,목이 붓고 숨이,patient_phrase,True,unreviewed,False
ALIAS-SEED-0027,urgent_allergic_swelling_signal,약 먹고 얼굴이 부어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0028,urgent_chest_signal,가슴이 짓눌려요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0029,urgent_chest_signal,가슴 아프고 식은땀,patient_phrase,True,unreviewed,False
ALIAS-SEED-0030,urgent_chest_signal,갑자기 심한 흉통,patient_phrase,True,unreviewed,False
ALIAS-SEED-0031,urgent_neurologic_signal,말이 갑자기 어눌해요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0032,urgent_neurologic_signal,한쪽 팔에 힘이 없어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0033,urgent_neurologic_signal,갑자기 의식이 이상해요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0034,urgent_bleeding_signal,검은 변이 나와요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0035,urgent_bleeding_signal,피를 토했어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0036,urgent_bleeding_signal,피 섞인 설사,patient_phrase,True,unreviewed,False
ALIAS-SEED-0037,urgent_dehydration_signal,물도 못 마셔요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0038,urgent_dehydration_signal,소변이 거의 안 나와요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0039,urgent_dehydration_signal,계속 토해서 축 늘어져요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0040,urgent_overdose_or_ingestion,약을 너무 많이 먹었어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0041,urgent_overdose_or_ingestion,아이가 약을 주워 먹었어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0042,urgent_overdose_or_ingestion,몇 알 먹었는지 몰라요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0043,cold_general,감기약 주세요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0044,cold_general,감기 걸린 것 같아요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0045,cold_general,몸살 감기,patient_phrase,True,unreviewed,False
ALIAS-SEED-0046,cold_early_symptoms,감기 기운 있어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0047,cold_early_symptoms,감기 오려는 것 같아요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0048,cold_early_symptoms,목이 간질하고 으슬으슬,patient_phrase,True,unreviewed,False
ALIAS-SEED-0049,cold_prevention_request,감기 예방약 있어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0050,cold_prevention_request,감기 안 걸리게 뭐 먹어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0051,cold_prevention_request,주변이 다 감기예요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0052,nasal_symptom_general,콧물약 주세요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0053,nasal_symptom_general,코가 막혀요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0054,nasal_symptom_general,재채기하고 콧물,patient_phrase,True,unreviewed,False
ALIAS-SEED-0055,rhinitis_vs_cold,비염인지 감기인지,patient_phrase,True,unreviewed,False
ALIAS-SEED-0056,rhinitis_vs_cold,맑은 콧물이 계속,patient_phrase,True,unreviewed,False
ALIAS-SEED-0057,rhinitis_vs_cold,아침마다 재채기,patient_phrase,True,unreviewed,False
ALIAS-SEED-0058,discolored_nasal_discharge,노란 콧물,patient_phrase,True,unreviewed,False
ALIAS-SEED-0059,discolored_nasal_discharge,콧물이 초록색,patient_phrase,True,unreviewed,False
ALIAS-SEED-0060,discolored_nasal_discharge,진한 콧물,patient_phrase,True,unreviewed,False
ALIAS-SEED-0061,cough_general,기침약 주세요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0062,cough_general,기침이 나요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0063,cough_general,밤에 기침,patient_phrase,True,unreviewed,False
ALIAS-SEED-0064,cough_not_improving,기침약이 안 들어요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0065,cough_not_improving,기침이 계속돼요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0066,cough_not_improving,며칠째 기침이 심해요,patient_phrase,True,unreviewed,False
ALIAS-SEED-0067,sore_throat,목이 아파요,patient_phrase,True,unreviewed,False
